id,title,date,status,packaging,type,secondary_types,track_count
90f49f25-abfd-4e78-8648-bacb7da0cc00,The Beatles’ Christmas Record,1963-12-06,Official,,Single,[],1
932d3dda-31ae-4832-b072-db181537ae55,Please Please Me,1963,Official,Cardboard/Paper Sleeve,Album,[],14
9347cc3f-2b5a-4d25-97e9-c5b57a5f909d,Twist and Shout,1963,Promotion,,EP,[],2
952deba8-30e8-430a-a338-02a720c339d2,My Bonnie,1961-10-23,Official,Cardboard/Paper Sleeve,Single,[],2
97e59b06-788e-3609-bdff-62c5f4eeeee0,From Me to You,1963-05-09,Official,,Single,[],2
99799f20-1600-4b24-9fea-321992f84986,My Bonnie,1962-04,Official,Cardboard/Paper Sleeve,Single,[],2
9982938c-df39-468f-98a7-11d8d41825a5,From Me to You / Thank You Girl,1963-04-11,Official,Cardboard/Paper Sleeve,Single,[],2
9a018043-1184-4a86-aea6-5fddbc3fa182,From Me to You / Thank You Girl,1963-04-12,Promotion,Cardboard/Paper Sleeve,Single,[],2
9a56edc6-3a60-395f-8b8a-57f79c107b05,Twist and Shout,1963-07,Official,,EP,[],4
9d94ac51-0213-461b-89c9-3ddf9194eb61,From Me to You / Thank You Girl,1963,Official,Cardboard/Paper Sleeve,Single,[],2
9dc4785d-5b57-372d-8bc7-3c0fd41c2ed9,She Loves You / I’ll Get You,1963-09-16,Official,Cardboard/Paper Sleeve,Single,[],2
a012ca1a-28ec-46b2-b01c-3892ef9e251c,I Want to Hold Your Hand / This Boy,1963-11-29,Promotion,Cardboard/Paper Sleeve,Single,[],2
a383521b-261b-3f36-b288-32e5c50b83c4,She Loves You / I’ll Get You,1963-09,Official,Cardboard/Paper Sleeve,Single,[],2
a4beab58-db04-41b3-9d97-c75a10cf5944,From Me to You / Thank You Girl,1963-05-06,Official,Cardboard/Paper Sleeve,Single,[],2
a83ad2da-7a52-43e8-a13b-8caa29913a33,Introducing… The Beatles,1964-01-10,Official,Cardboard/Paper Sleeve,Album,[],12
a83d1eb2-4c76-4103-ac9b-bd9910aa7a83,Please Please Me,1963-05,Official,Cardboard/Paper Sleeve,Album,[],14
a90a50a1-b277-4df0-8229-3ff3c7f9a775,With The Beatles,1963,Official,,Album,[],14
a91b9173-b958-401b-9551-b15db0e7bc5d,With The Beatles,1963-11-22,Official,Cardboard/Paper Sleeve,Album,[],14
ad9a5857-7223-46b8-8594-093c4e5303db,No. 1,1963-11-01,Official,Cardboard/Paper Sleeve,EP,[],4
ade577f6-6087-4a4f-8e87-38b0f8169814,Please Please Me,1963-03-22,Official,Cardboard/Paper Sleeve,Album,[],14
b0c4e7b2-8501-4d76-a7b2-5fc08c508cf8,Please Please Me,1963-05,Official,Cardboard/Paper Sleeve,Album,[],14
b13c7b8f-c04f-435e-80fc-95d15418ec8e,Please Please Me,1963,Official,Cardboard/Paper Sleeve,Album,[],14
b2175fb6-e13d-4e55-9729-ca9c0e748753,The Beatles’ Hits,1963-09-06,Official,Cardboard/Paper Sleeve,EP,[],4
c1177b07-b075-4af3-ba89-32d438b047e6,My Bonnie,1962-01-05,Official,Cardboard/Paper Sleeve,Single,[],2
c197ef6d-a6dc-4c8b-b560-91516e3991dc,Please Please Me,1963-05,Official,Cardboard/Paper Sleeve,Album,[],14
c4aeaf91-4047-4324-8452-d38ade06d2af,My Bonnie,1962-01,Official,Cardboard/Paper Sleeve,Single,[],2
c8b109f2-cb84-4ce8-b60a-e44213b76d16,The Beatles’ Hits,1963-09-06,Official,Cardboard/Paper Sleeve,EP,[],4
c950b06d-c727-4673-8bae-be985616b1cc,I Want to Hold Your Hand / This Boy,1963-11-29,Official,Cardboard/Paper Sleeve,Single,[],2
d091b875-7b32-47cf-b76e-2bc1ef4240e2,I Want to Hold Your Hand,1963-12-05,Official,Cardboard/Paper Sleeve,EP,['Compilation'],4
d2e3b61b-4d33-431e-9094-b57138c87cfa,From Me to You / Thank You Girl,1963-05-06,Official,Cardboard/Paper Sleeve,Single,[],2
d47b6b90-0dfc-4ef2-b189-5e18fdb7a59b,My Bonnie,1963-07-12,Official,Cardboard/Paper Sleeve,EP,[],4
d79399a5-bea1-4eb9-b3dc-c2b161acb879,Twist and Shout,1963-07-12,Official,Cardboard/Paper Sleeve,EP,[],4
dfd0dbf8-67e8-4dc0-acb1-c684ded1c501,Please Please Me / Ask Me Why,1963-01,Official,Cardboard/Paper Sleeve,Single,[],2
e01df4ab-f3a2-4a61-8e70-86a149d93ef8,The Beatles’ Hits,1963-09-06,Official,Cardboard/Paper Sleeve,EP,[],4
e6251cfe-1376-49bd-a9c3-c9fd0ff6894f,Twist and Shout,1963-07-12,Official,Cardboard/Paper Sleeve,EP,[],4
e6c8fb8d-32cc-4ee5-a6df-bb7e4d604d6d,Roll Over Beethoven / Please Mr. Postman,1963-12-09,Official,Cardboard/Paper Sleeve,Single,[],2
ec88abcc-f35d-4b14-b4d2-963f8b8ef291,"1963-10-24: The Beatles Popgrupp Fran Liverpool Pa Besök I Stockholm: Karlaplan Studios, Stockholm, Sweden",1963-10-24,Bootleg,None,Broadcast,['Live'],8
ed1b4678-9544-4974-a532-73bca11a0835,Love Me Do / P.S. I Love You,1963-02-18,Official,Cardboard/Paper Sleeve,Single,[],2
ee397a6d-c56f-45ea-9955-d203d2fea708,Please Please Me / Ask Me Why,1963-02-07,Official,Cardboard/Paper Sleeve,Single,[],2
f28fcb1e-25fa-4e42-8614-b3b8c3feb750,She Loves You / I’ll Get You,1963,Official,Cardboard/Paper Sleeve,Single,[],2
f4214743-6753-4eea-acef-7a3ac4bc89c3,Please Please Me / Ask Me Why,1963-02,Promotion,Cardboard/Paper Sleeve,Single,[],2
f7a739ac-45d2-377a-b84f-b3789dd471cd,Please Please Me,1963-02-21,Official,,Single,[],2
f8b4bec0-d9d7-4e94-8db8-2d2f9a76f4e0,Please Please Me / Ask Me Why,1963-01,Promotion,Cardboard/Paper Sleeve,Single,[],2
fb7b626f-0509-472b-b9b0-8cf8bd507154,With The Beatles,1963,Official,Cardboard/Paper Sleeve,Album,[],14
fdab6b1b-fec0-4e3a-9041-f60fe4479d0a,Please Please Me,1963-04,Official,Cardboard/Paper Sleeve,Album,[],14
