album_id,album_title,disc_number,track_number,title,length_seconds
a90a50a1-b277-4df0-8229-3ff3c7f9a775,With The Beatles,1,3,All My Loving,129
a90a50a1-b277-4df0-8229-3ff3c7f9a775,With The Beatles,1,4,Don’t Bother Me,149
a90a50a1-b277-4df0-8229-3ff3c7f9a775,With The Beatles,1,5,Little Child,108
a90a50a1-b277-4df0-8229-3ff3c7f9a775,With The Beatles,1,6,Till There Was You,137
a90a50a1-b277-4df0-8229-3ff3c7f9a775,With The Beatles,1,7,Please Mister Postman,155
a90a50a1-b277-4df0-8229-3ff3c7f9a775,With The Beatles,1,8,Roll Over Beethoven,167
a90a50a1-b277-4df0-8229-3ff3c7f9a775,With The Beatles,1,9,Hold Me Tight,153
a90a50a1-b277-4df0-8229-3ff3c7f9a775,With The Beatles,1,10,You Really Got a Hold on Me,183
a90a50a1-b277-4df0-8229-3ff3c7f9a775,With The Beatles,1,11,I Wanna Be Your Man,119
a90a50a1-b277-4df0-8229-3ff3c7f9a775,With The Beatles,1,12,Devil in Her Heart,148
a90a50a1-b277-4df0-8229-3ff3c7f9a775,With The Beatles,1,13,Not a Second Time,128
a90a50a1-b277-4df0-8229-3ff3c7f9a775,With The Beatles,1,14,Money (That’s What I Want),168
b13c7b8f-c04f-435e-80fc-95d15418ec8e,Please Please Me,1,1,I Saw Her Standing There,175
b13c7b8f-c04f-435e-80fc-95d15418ec8e,Please Please Me,1,2,Misery,110
b13c7b8f-c04f-435e-80fc-95d15418ec8e,Please Please Me,1,3,Anna (Go to Him),177
b13c7b8f-c04f-435e-80fc-95d15418ec8e,Please Please Me,1,4,Chains,146
b13c7b8f-c04f-435e-80fc-95d15418ec8e,Please Please Me,1,5,Boys,147
b13c7b8f-c04f-435e-80fc-95d15418ec8e,Please Please Me,1,6,Ask Me Why,147
b13c7b8f-c04f-435e-80fc-95d15418ec8e,Please Please Me,1,7,Please Please Me,121
b13c7b8f-c04f-435e-80fc-95d15418ec8e,Please Please Me,1,8,Love Me Do,141
b13c7b8f-c04f-435e-80fc-95d15418ec8e,Please Please Me,1,9,P.S. I Love You,124
b13c7b8f-c04f-435e-80fc-95d15418ec8e,Please Please Me,1,10,Baby It’s You,160
b13c7b8f-c04f-435e-80fc-95d15418ec8e,Please Please Me,1,11,Do You Want to Know a Secret,120
b13c7b8f-c04f-435e-80fc-95d15418ec8e,Please Please Me,1,12,A Taste of Honey,125
b13c7b8f-c04f-435e-80fc-95d15418ec8e,Please Please Me,1,13,There’s a Place,113
b13c7b8f-c04f-435e-80fc-95d15418ec8e,Please Please Me,1,14,Twist and Shout,153
fb7b626f-0509-472b-b9b0-8cf8bd507154,With The Beatles,1,1,It Won’t Be Long,133
fb7b626f-0509-472b-b9b0-8cf8bd507154,With The Beatles,1,2,All I’ve Got to Do,125
fb7b626f-0509-472b-b9b0-8cf8bd507154,With The Beatles,1,3,All My Loving,129
fb7b626f-0509-472b-b9b0-8cf8bd507154,With The Beatles,1,4,Don’t Bother Me,149
fb7b626f-0509-472b-b9b0-8cf8bd507154,With The Beatles,1,5,Little Child,108
fb7b626f-0509-472b-b9b0-8cf8bd507154,With The Beatles,1,6,Till There Was You,137
fb7b626f-0509-472b-b9b0-8cf8bd507154,With The Beatles,1,7,Please Mister Postman,155
fb7b626f-0509-472b-b9b0-8cf8bd507154,With The Beatles,1,8,Roll Over Beethoven,168
fb7b626f-0509-472b-b9b0-8cf8bd507154,With The Beatles,1,9,Hold Me Tight,153
fb7b626f-0509-472b-b9b0-8cf8bd507154,With The Beatles,1,10,You Really Got a Hold on Me,183
fb7b626f-0509-472b-b9b0-8cf8bd507154,With The Beatles,1,11,I Wanna Be Your Man,120
fb7b626f-0509-472b-b9b0-8cf8bd507154,With The Beatles,1,12,Devil in Her Heart,148
fb7b626f-0509-472b-b9b0-8cf8bd507154,With The Beatles,1,13,Not a Second Time,127
fb7b626f-0509-472b-b9b0-8cf8bd507154,With The Beatles,1,14,Money (That’s What I Want),169
ade577f6-6087-4a4f-8e87-38b0f8169814,Please Please Me,1,1,I Saw Her Standing There,175
ade577f6-6087-4a4f-8e87-38b0f8169814,Please Please Me,1,2,Misery,110
ade577f6-6087-4a4f-8e87-38b0f8169814,Please Please Me,1,3,Anna (Go to Him),177
ade577f6-6087-4a4f-8e87-38b0f8169814,Please Please Me,1,4,Chains,146
